error:  -16.00
value of H at the initial condition:  -1.3362071584596453
numerical integration starts...
      0.240 20  -1.0
    271.462 20  -1.0
    541.558 20  -1.0
    811.703 20  -4.0
   1082.560 20  -4.0
   1352.016 20  -1.0
   1622.826 20  -1.0
   1893.263 20   0.0
   2163.125 20   1.0
   2434.295 20   7.0
   2704.428 20   3.0
   2974.538 20   3.0
   3245.490 20   2.0
   3514.971 20   0.0
   3785.915 20  -2.0
   4056.163 20  -3.0
   4325.895 20   1.0
   4597.003 20   3.0
   4866.734 20   2.0
   5137.184 20   0.0
   5408.307 20   0.0
   5678.304 20   3.0
   5949.132 20   7.0
   6219.457 20   5.0
   6489.108 20   6.0
   6760.373 20   4.0
   7030.028 20   3.0
   7300.336 20   2.0
   7571.239 20   1.0
   7841.399 20   2.0
   8111.920 20   1.0
   8382.284 20   0.0
   8652.211 20  -1.0
   8923.348 20  -5.0
   9193.444 20  -5.0
   9463.005 20  -6.0
   9734.022 20  -8.0
  10003.802 20  -8.0
  10274.453 20 -10.0
  10545.252 20 -10.0
  10815.070 20 -13.0
  11086.367 20 -15.0
  11356.606 20 -13.0
  11626.165 20 -10.0
  11897.615 20  -9.0
  12166.860 20  -9.0
  12437.596 20  -9.0
  12708.253 20 -11.0
  12978.273 20 -15.0
  13249.227 20 -16.0
  13519.256 20 -14.0
  13789.403 20 -12.0
  14060.469 20 -12.0
  14330.434 20 -13.0
  14600.610 20 -10.0
  14871.315 20 -12.0
  15140.910 20 -13.0
  15411.733 20 -13.0
  15682.007 20 -13.0
  15951.969 20 -11.0
  16223.428 20 -11.0
  16493.746 20  -8.0
  16763.638 20 -10.0
  17034.641 20 -14.0
  17304.039 20 -10.0
  17575.055 20 -13.0
  17845.401 20 -18.0
  18115.059 20 -19.0
  18386.283 20 -20.0
  18656.209 20 -17.0
  18926.573 20 -17.0
  19197.539 20 -18.0
  19467.344 20 -16.0
  19738.368 20 -17.0
  20008.633 20 -23.0
  20278.144 20 -26.0
  20549.359 20 -26.0
  20818.977 20 -25.0
  21089.332 20 -24.0
  21360.508 20 -27.0
  21630.735 20 -28.0
  21901.179 20 -29.0
  22171.598 20 -28.0
  22441.288 20 -33.0
  22712.345 20 -34.0
  22982.518 20 -39.0
  23252.146 20 -37.0
  23523.176 20 -32.0
  23793.172 20 -34.0
  24063.759 20 -32.0
  24334.424 20 -32.0
  24604.238 20 -36.0
  24875.459 20 -37.0
  25145.833 20 -37.0
  25415.281 20 -37.0
  25686.618 20 -38.0
  25955.865 20 -37.0
  26226.583 20 -40.0
  26497.354 20 -35.0
  26767.287 20 -32.0
  27038.335 20 -32.0
  27308.560 20 -30.0
  27578.445 20 -31.0
  27849.437 20 -29.0
  28119.368 20 -28.0
  28389.670 20 -27.0
  28660.149 20 -26.0
  28930.114 20 -30.0
  29200.899 20 -32.0
  29471.238 20 -31.0
  29741.260 20 -29.0
  30012.487 20 -30.0
  30282.916 20 -31.0
  30552.838 20 -31.0
  30823.708 20 -30.0
  31092.918 20 -28.0
  31364.023 20 -26.0
  31634.519 20 -31.0
  31903.940 20 -34.0
  32175.524 20 -30.0
  32445.676 20 -38.0
  32715.879 20 -34.0
  32986.742 20 -32.0
  33256.433 20 -35.0
  33527.441 20 -30.0
  33797.664 20 -27.0
  34067.165 20 -30.0
  34338.374 20 -31.0
  34608.246 20 -33.0
  34878.660 20 -30.0
  35149.612 20 -28.0
  35419.882 20 -33.0
  35690.590 20 -33.0
  35961.021 20 -31.0
  36230.492 20 -29.0
  36501.638 20 -26.0
  36771.787 20 -25.0
  37041.416 20 -25.0
  37312.557 20 -28.0
  37582.646 20 -22.0
  37853.184 20 -23.0
  38123.772 20 -24.0
  38393.438 20 -23.0
  38664.570 20 -25.0
  38934.917 20 -22.0
  39204.448 20 -20.0
  39475.660 20 -20.0
  39745.171 20 -20.0
  40015.881 20 -19.0
  40286.597 20 -18.0
  40556.293 20 -15.0
  40827.580 20 -15.0
  41097.913 20 -11.0
  41367.620 20 -18.0
  41638.711 20 -20.0
  41908.298 20 -22.0
  42178.764 20 -22.0
  42449.444 20 -19.0
  42719.363 20 -21.0
  42990.206 20 -24.0
  43260.595 20 -20.0
  43530.588 20 -24.0
  43801.435 20 -21.0
  44071.721 20 -19.0
  44341.698 20 -17.0
  44612.440 20 -22.0
  44882.010 20 -19.0
  45152.807 20 -17.0
  45423.333 20 -17.0
  45693.007 20 -17.0
  45964.241 20 -20.0
  46234.699 20 -20.0
  46504.608 20 -18.0
  46775.673 20 -21.0
  47044.913 20 -23.0
  47315.872 20 -28.0
  47586.369 20 -32.0
  47855.860 20 -36.0
  48127.080 20 -35.0
  48397.281 20 -33.0
  48667.617 20 -34.0
  48938.358 20 -37.0
  49208.431 20 -36.0
  49479.118 20 -34.0
  49749.733 20 -38.0
  50019.141 20 -35.0
  50290.023 20 -36.0
  50560.285 20 -41.0
  50830.322 20 -42.0
  51101.265 20 -42.0
  51371.509 20 -41.0
  51641.965 20 -44.0
  51912.817 20 -43.0
  52182.070 20 -41.0
  52453.184 20 -44.0
  52723.690 20 -43.0
  52993.000 20 -41.0
  53264.248 20 -41.0
  53534.101 20 -41.0
  53804.700 20 -43.0
  54075.410 20 -45.0
  54345.128 20 -40.0
  54616.280 20 -40.0
  54886.802 20 -41.0
  55156.419 20 -42.0
  55427.541 20 -44.0
  55697.000 20 -44.0
  55967.622 20 -46.0
  56238.290 20 -43.0
  56508.086 20 -39.0
  56779.177 20 -38.0
  57049.737 20 -39.0
  57319.542 20 -37.0
  57590.453 20 -38.0
  57860.660 20 -37.0
  58130.566 20 -37.0
  58401.299 20 -36.0
  58670.988 20 -36.0
  58941.838 20 -34.0
  59212.475 20 -32.0
  59482.291 20 -31.0
  59753.310 20 -30.0
  60023.728 20 -31.0
  60293.746 20 -35.0
  60564.860 20 -34.0
  60833.877 20 -33.0
  61104.734 20 -33.0
  61375.456 20 -28.0
  61644.945 20 -30.0
  61916.365 20 -30.0
  62186.689 20 -28.0
  62456.943 20 -28.0
  62727.688 20 -28.0
  62997.497 20 -32.0
  63268.105 20 -30.0
  63538.666 20 -29.0
  63808.107 20 -25.0
  64078.937 20 -24.0
  64349.294 20 -26.0
  64619.475 20 -25.0
  64890.240 20 -19.0
  65160.472 20 -19.0
  65431.017 20 -14.0
  65701.927 20 -15.0
  65971.084 20 -12.0
  66241.948 20 -13.0
  66512.567 20 -16.0
  66781.995 20 -15.0
  67053.198 20 -20.0
  67323.295 20 -19.0
  67593.956 20 -18.0
  67864.719 20 -16.0
  68134.194 20 -19.0
  68405.127 20 -18.0
  68675.667 20 -20.0
  68945.299 20 -19.0
  69216.285 20 -21.0
  69485.989 20 -21.0
  69756.562 20 -18.0
  70027.296 20 -16.0
  70297.113 20 -13.0
  70567.969 20 -16.0
  70838.666 20 -16.0
  71108.313 20 -17.0
  71379.160 20 -18.0
  71649.005 20 -16.0
  71919.036 20 -18.0
  72190.049 20 -16.0
  72459.802 20 -16.0
  72730.670 20 -20.0
  73001.512 20 -20.0
  73271.129 20 -19.0
  73541.936 20 -18.0
  73812.326 20 -17.0
  74082.105 20 -22.0
  74353.266 20 -19.0
  74622.581 20 -21.0
  74893.355 20 -20.0
  75164.032 20 -18.0
  75433.837 20 -16.0
  75704.695 20 -12.0
  75975.094 20 -12.0
  76245.241 20 -11.0
  76516.265 20 -16.0
  76785.377 20 -16.0
  77055.964 20 -15.0
  77326.767 20 -15.0
  77596.483 20 -15.0
  77867.487 20 -16.0
  78138.228 20 -16.0
  78408.425 20 -16.0
  78679.203 20 -17.0
  78949.306 20 -15.0
  79219.606 20 -18.0
  79490.586 20 -20.0
  79759.881 20 -21.0
  80030.544 20 -22.0
  80301.163 20 -18.0
  80571.013 20 -10.0
  80841.909 20 -13.0
  81112.013 20 -14.0
  81382.512 20 -13.0
  81653.748 20 -12.0
  81922.803 20 -12.0
  82193.802 20 -17.0
  82464.491 20 -17.0
  82733.941 20 -19.0
  83005.209 20 -19.0
  83275.095 20 -16.0
  83545.686 20 -13.0
  83816.503 20 -12.0
  84086.377 20 -14.0
  84356.994 20 -16.0
  84627.602 20 -21.0
  84897.333 20 -18.0
  85168.154 20 -18.0
  85438.103 20 -16.0
  85708.305 20 -15.0
  85979.162 20 -15.0
  86248.995 20 -16.0
  86519.744 20 -18.0
  86790.805 20 -19.0
  87060.383 20 -17.0
  87331.242 20 -13.0
  87601.681 20 -16.0
  87871.218 20 -16.0
  88142.476 20 -14.0
  88411.880 20 -15.0
  88682.740 20 -18.0
  88953.619 20 -18.0
  89223.368 20 -19.0
  89494.190 20 -18.0
  89764.472 20 -17.0
  90034.669 20 -17.0
  90305.855 20 -13.0
  90574.896 20 -11.0
  90845.586 20 -13.0
  91116.367 20 -13.0
  91386.011 20 -10.0
  91656.900 20  -9.0
  91927.382 20 -11.0
  92197.621 20 -14.0
  92468.564 20 -15.0
  92738.486 20 -15.0
  93008.614 20 -16.0
  93279.555 20 -14.0
  93548.991 20 -15.0
  93819.774 20 -18.0
  94090.340 20 -13.0
  94360.341 20 -16.0
  94631.153 20 -12.0
  94901.232 20 -12.0
  95171.460 20 -13.0
  95442.724 20 -13.0
  95711.852 20  -9.0
  95982.600 20 -11.0
  96253.103 20 -10.0
  96522.878 20  -8.0
  96793.891 20  -8.0
  97063.754 20  -7.0
  97334.494 20  -5.0
  97605.629 20  -4.0
  97875.356 20  -4.0
  98145.986 20  -4.0
  98416.653 20  -3.0
  98686.371 20  -3.0
  98957.268 20  -1.0
  99227.117 20   0.0
  99497.472 20   3.0
  99768.315 20   6.0
 100038.272 20   4.0
 100308.646 20   1.0
 100579.621 20   4.0
 100849.210 20   9.0
 101120.023 20  10.0
 101390.270 20   8.0
 101659.967 20  14.0
 101931.172 20  11.0
 102200.728 20   9.0
 102471.513 20  10.0
 102742.716 20  10.0
 103012.404 20  13.0
 103283.231 20  10.0
 103553.581 20   7.0
 103823.481 20   5.0
 104094.745 20   3.0
 104363.907 20   6.0
 104634.448 20   7.0
 104905.250 20   3.0
 105175.179 20   2.0
 105445.886 20   0.0
 105716.222 20   1.0
 105986.411 20   2.0
 106257.481 20   2.0
 106527.183 20  -2.0
 106797.227 20  -2.0
 107068.171 20   0.0
 107337.741 20  -5.0
 107608.495 20  -5.0
 107879.379 20  -4.0
 108149.292 20  -4.0
 108420.265 20  -4.0
 108690.426 20  -4.0
 108960.252 20  -4.0
 109231.529 20  -5.0
 109500.701 20  -2.0
 109771.445 20  -6.0
 110042.095 20  -5.0
 110311.984 20  -5.0
 110583.044 20  -4.0
 110852.960 20  -4.0
 111123.373 20   0.0
 111394.645 20  -3.0
 111664.118 20   1.0
 111934.665 20   0.0
 112205.193 20  -2.0
 112474.898 20   3.0
 112745.994 20   1.0
 113015.927 20  -1.0
 113286.472 20   0.0
 113557.502 20   5.0
 113827.608 20   6.0
 114097.856 20   4.0
 114368.624 20   1.0
 114638.305 20   1.0
 114909.109 20   4.0
 115179.211 20   7.0
 115449.096 20   2.0
 115720.141 20   4.0
 115989.985 20   4.0
 116260.505 20   5.0
 116531.584 20   6.0
 116801.178 20   3.0
 117072.187 20   3.0
 117342.451 20   5.0
 117612.038 20   3.0
 117883.475 20   3.0
 118152.699 20   3.0
 118423.393 20   4.0
 118694.464 20   3.0
 118964.418 20   2.0
 119235.095 20   2.0
 119505.294 20   2.0
 119775.289 20   1.0
 120046.389 20  -1.0
 120316.023 20  -2.0
 120586.186 20  -2.0
 120857.038 20  -6.0
 121126.951 20  -6.0
 121397.537 20  -4.0
 121668.197 20  -3.0
 121938.213 20  -3.0
 122209.345 20   2.0
 122479.417 20   1.0
 122748.876 20   3.0
 123020.353 20   6.0
 123289.570 20   5.0
 123560.260 20   4.0
 123831.209 20  -1.0
 124101.025 20   0.0
 124372.100 20  -1.0
 124642.120 20  -2.0
 124911.986 20   1.0
 125183.361 20   3.0
 125452.740 20   2.0
 125723.237 20   1.0
 125993.795 20   3.0
 126263.733 20   0.0
 126534.604 20   0.0
 126804.664 20  -1.0
 127074.995 20   0.0
 127346.254 20   2.0
 127616.361 20  -1.0
 127886.513 20  -6.0
 128157.375 20  -4.0
 128426.850 20  -5.0
 128697.646 20  -6.0
 128968.064 20  -7.0
 129238.048 20  -6.0
 129509.188 20  -2.0
 129779.238 20  -6.0
 130049.347 20  -8.0
 130320.299 20 -11.0
 130589.876 20 -13.0
 130860.762 20 -12.0
 131130.987 20 -10.0
 131400.704 20 -11.0
 131671.851 20 -12.0
 131941.541 20 -11.0
 132211.982 20 -11.0
 132483.114 20 -10.0
 132753.082 20  -8.0
 133023.967 20 -12.0
 133294.311 20  -5.0
 133563.994 20  -8.0
 133835.208 20  -8.0
 134104.876 20 -15.0
 134375.153 20 -19.0
 134646.033 20 -16.0
 134916.196 20 -14.0
 135186.729 20 -14.0
 135457.076 20 -13.0
 135727.038 20 -17.0
 135998.165 20 -19.0
 136268.242 20 -16.0
 136537.815 20 -23.0
 136808.822 20 -25.0
 137078.613 20 -25.0
 137349.266 20 -28.0
 137620.065 20 -26.0
 137889.857 20 -25.0
 138161.174 20 -25.0
 138431.433 20 -30.0
 138700.951 20 -34.0
 138972.417 20 -34.0
 139241.608 20 -31.0
 139512.342 20 -27.0
 139783.056 20 -28.0
 140052.981 20 -28.0
 140323.900 20 -28.0
 140593.932 20 -28.0
 140864.000 20 -27.0
 141135.134 20 -27.0
 141405.107 20 -26.0
 141675.278 20 -28.0
 141945.819 20 -24.0
 142215.620 20 -26.0
 142486.455 20 -26.0
 142756.692 20 -32.0
 143026.694 20 -34.0
 143297.998 20 -35.0
 143568.334 20 -37.0
 143838.134 20 -33.0
 144109.188 20 -33.0
 144378.451 20 -33.0
 144649.445 20 -34.0
 144919.872 20 -36.0
 145189.468 20 -36.0
 145460.756 20 -36.0
 145730.790 20 -35.0
 146001.067 20 -33.0
 146271.896 20 -40.0
 146541.629 20 -37.0
 146812.505 20 -35.0
 147082.797 20 -35.0
 147352.438 20 -34.0
 147623.501 20 -31.0
 147893.327 20 -34.0
 148163.650 20 -37.0
 148434.753 20 -40.0
 148705.042 20 -41.0
 148975.434 20 -40.0
 149245.927 20 -40.0
 149515.330 20 -40.0
 149786.468 20 -41.0
 150056.748 20 -35.0
 150326.312 20 -34.0
 150597.513 20 -30.0
 150867.683 20 -29.0
 151138.145 20 -30.0
 151408.825 20 -28.0
 151678.574 20 -28.0
 151949.669 20 -33.0
 152220.009 20 -34.0
 152489.469 20 -32.0
 152760.660 20 -33.0
 153030.209 20 -33.0
 153300.770 20 -33.0
 153571.540 20 -35.0
 153841.505 20 -35.0
 154112.625 20 -34.0
 154382.956 20 -37.0
 154652.585 20 -37.0
 154923.675 20 -40.0
 155193.581 20 -42.0
 155463.803 20 -45.0
 155734.463 20 -48.0
 156004.540 20 -48.0
 156275.268 20 -49.0
 156545.695 20 -52.0
 156815.648 20 -57.0
 157086.777 20 -57.0
 157357.207 20 -56.0
 157627.121 20 -60.0
 157898.057 20 -58.0
 158167.367 20 -62.0
 158438.159 20 -60.0
 158708.792 20 -62.0
 158978.333 20 -62.0
 159249.867 20 -62.0
 159520.153 20 -62.0
 159790.150 20 -63.0
 160061.130 20 -65.0
 160330.659 20 -68.0
 160601.618 20 -69.0
 160871.997 20 -67.0
 161141.623 20 -70.0
 161412.696 20 -72.0
 161682.705 20 -69.0
 161953.053 20 -65.0
 162223.901 20 -67.0
 162494.114 20 -66.0
 162764.805 20 -67.0
 163035.263 20 -70.0
 163304.596 20 -65.0
 163575.651 20 -66.0
 163845.891 20 -67.0
 164115.615 20 -70.0
 164386.834 20 -70.0
 164657.088 20 -70.0
 164927.514 20 -68.0
 165198.218 20 -67.0
 165467.687 20 -68.0
 165738.788 20 -65.0
 166009.156 20 -68.0
 166278.671 20 -69.0
 166549.858 20 -70.0
 166819.611 20 -67.0
 167090.228 20 -67.0
 167360.913 20 -68.0
 167630.646 20 -69.0
 167901.837 20 -72.0
 168172.230 20 -69.0
 168441.693 20 -69.0
 168712.846 20 -66.0
 168982.333 20 -70.0
 169252.734 20 -70.0
 169523.451 20 -70.0
 169793.563 20 -70.0
 170064.483 20 -72.0
 170334.951 20 -72.0
 170604.664 20 -71.0
 170875.479 20 -72.0
 171145.761 20 -72.0
 171415.534 20 -73.0
 171686.413 20 -74.0
 171956.217 20 -73.0
 172226.899 20 -71.0
 172497.495 20 -71.0
 172767.219 20 -76.0
 173038.251 20 -78.0
 173308.710 20 -78.0
 173578.412 20 -81.0
 173849.619 20 -79.0
 174118.803 20 -78.0
 174389.582 20 -78.0
 174660.195 20 -77.0
 174929.848 20 -75.0
 175201.083 20 -73.0
 175471.567 20 -75.0
 175741.687 20 -73.0
 176012.522 20 -73.0
 176282.532 20 -72.0
 176552.950 20 -75.0
 176823.608 20 -75.0
 177093.203 20 -77.0
 177364.080 20 -72.0
 177634.425 20 -72.0
 177904.498 20 -69.0
 178175.283 20 -66.0
 178445.524 20 -64.0
 178715.857 20 -64.0
 178986.808 20 -67.0
